Adorable&lovable, charming, delightful 
Ancient&elderly, old, antique 
Animated&lively, exuberant, spirited 
Arrogant&egotistical, overconfident, conceited 
Awkward&clumsy, bumbling, uncoordinated 
Boisterous&loud, rambunctious, rowdy 
Boring&dull, tedious, monotonous 
Brilliant&dazzling, gleaming, intelligent 
Calm&peaceful, tranquil, placid 
Casual&easygoing, blase, nonchalant 
Charming&captivating, enchanting, fascinating 
Cheesy&trashy, tawdry, far
Colorful&vivid, brilliant, kaleidoscopic 
Cool&chilly, hip, cold
Corrupt&dishonest, underhanded, shady 
Courageous&brave, gallant, dauntless 
Crazed&insane, wild, deranged 
Creative&imaginative, artistic, original 
Creepy&frightening, slithering, scary 
Cuddly&loving, tender, huggable 
Dainty&delicate, fragile, thin 
Dangerous&risky, chancy, hazardous 
Delicate&dainty, tender, elegant 
Delicious&tasty, pleasing, appetizing 
Demanding&difficult, exacting, bothersome 
Desperate&frantic, headlong, reckless 
Distinguished&dignified, extraordinary, acclaimed 
Dramatic&exciting, sensational, theatrical 
Earthy&unrefined, natural, crude 
Easy&effortless, gentle, promiscuous 
Expensive&costly, valuable, exorbitant 
Extreme&exceptional, superlative, radical 
Fabulous&marvelous, wonderful, incredible 
Feminine&womanly, ladylike, unmanly 
Filthy&dirty, foul, unclean 
Flirtatious&brazen, saucy, forward 
Fragrant&aromatic, odorous, perfumed 
Frazzled&exhausted, frayed, worn 
Fresh&new, original, good 
Frightening&scary, horrifying, awesome 
Graceful&elegant, supple, limber 
Handsome&attractive, elegant, fine 
Hardworking&industrious, diligent, busy 
Hilarious&funny, witty, amusing 
Honorable&honest, just, virtuous 
Hopeless&pessimistic, desperate, downhearted 
Horrifying&offensive, abominable, disgusting 
Hostile&antagonistic, aggressive, warlike 
Idiotic&foolish, dumb, moronic 
Important&significant, substantial, momentous 
Industrious&diligent, busy, hard
Influential&powerful, prominent, important 
Inspirational&exhilarating, inspiring, stimulating 
Loud&noisy, boisterous, deafening 
Lucky&fortunate, serendipitous, favored 
Luscious&delicious, savory, juicy 
Luxurious&opulent, lavish, sumptuous 
Magical&enchanting, miraculous, marvelous 
Masculine&male, manly, virile 
Mischievous&naughty, prankish, sly 
Misunderstood&not grasped, not learned, not absorbed 
Nasty&mean, inclement, offensive 
Nerdy&unhip, uncool, dorky 
Normal&usual, common, ordinary 
Obnoxious&offensive, repulsive, annoying 
Odd&different, eccentric, bizarre 
Offensive&insulting, vulgar, attacking 
Outrageous&shocking, scandalous, disgraceful 
Patriotic&nationalistic, loyal, public
Perfect&faultless, consummate, exact 
Phony&false, artificial, imitation 
Powerful&strong, forceful, robust 
Primitive&prehistoric, primal, uncivilized 
Principled&conscientious, ethical, scrupulous 
Profound&deep, wise, thoughtful 
Pure&innocent, unadulterated, chaste 
Radical&unconventional, revolutionary, extreme 
Responsible&accountable, obligated, mature 
Rich&wealthy, affluent, moneyed 
Ridiculous&preposterous, absurd, ludicrous 
Rough&scratchy, uneven, jagged 
Saintly&virtuous, angelic, divine 
Sappy&gooey, mushy, romantic 
Scary&frightening, absurd, ugly 
Selfish&stingy, greedy, miserly 
Sensitive&susceptible, sympathetic, tender 
Sensual&tactile, pleasing, sexual 
Sexy&arousing, appealing, seductive 
Smooth&even, level, flat 
Soft&malleable, pliable, mushy 
Speedy&quick, rapid, fast 
Stereotyped&pigeonholed, caricatured, characterized 
Stunning&astonishing, staggering, astounding 
Sweet&sugary, caring, good 
Swift&quick, speedy, expeditious 
Talented&gifted, clever, skillful 
Temperamental&moody, irritable, short
Timeless&classic, ageless, well
Touchy&Feely 
Trustworthy&honest, reliable, unfailing 
Unforgettable&notable, impressive, remarkable 
Unscrupulous&unethical, corrupt, unprincipled 
Visionary&idealistic, prophetic, far
Wicked&evil, corrupt, depraved 
Wild&untamed, savage, ferocious 
Zany&crazy, funny, wacky
