Noun,Noun_Description,Adjective,Adjective_Synonyms,Rating,Is_Humorous,Sentiment,Is_Ironic,Is_Punny
Industrial Revolution,"The first Industrial Revolution occurred in Great Britain at the end of the 1700s. The second came with the invention of the ""Clapper.""",Adorable,"lovable, charming, delightful",-0.2,1,0,1,0
The San Andreas Fault,Geological feature in California stretching 600 miles. Like the state doesn't have enough faults already.,Horrifying,"offensive, abominable, disgusting",0.4,0,-1,0,0
Abraham Lincoln,"1809-65, 16th U.S. president, led the Union to victory in the American Civil War and abolished slavery. Was assassinated for his efforts.",Desperate,"frantic, headlong, reckless",-0.2,0,0,0,0
William Shakespeare,"1564-1616, The English poet and playwright. And all the world IS a stage ...",Graceful,"elegant, supple, limber",0.8,0,1,0,0
Anne Frank,"1929-45, German Jewish girl who wrote in her diary about her family hiding from the Nazis. She died in a concentration camp.",Frazzled,"exhausted, frayed, worn",-0.3,0,-1,0,0
New Orleans,The Big Easy.,Talented,"gifted, clever, skillful",0.5,0,0,0,0
The 1920s,Pros: the Jazz Age. Cons: Presidents who look like librarians.,Easy,"effortless, gentle, promiscuous",0.2,0,0,0,0
Blizzard,"Extreme cold, strong winds, and a head snowfall. Also known as Canada.",Expensive,"costly, valuable, exorbitant",0,0,0,0,0
The JFK Assassination,"November 22, 1963. The funeral of President Kennedy was watched on television by millions around the world.",Corrupt,"dishonest, underhanded, shady",0.8,0,-1,0,0
Oranges,Face it ... nothing rhymes with orange.,Casual,"easygoing, blase, nonchalant",0.2,0,0,0,0
Getting A Hug,Hmmmm ... nice.,Expensive,"costly, valuable, exorbitant",-0.6,1,0,1,0
Hollywood,Motion picture and television industry center of the world. Hooray for Hollywood!,Speedy,"quick, rapid, fast",0.3,0,0,0,0
Silk,"Produced as a cocoon covering by the silk worm, and used in fine fabrics and textiles.",Adorable,"lovable, charming, delightful",0.5,0,1,0,0
Worms,"""A man may fish with the worm that hath eat of a king, and eat of the fish that has fed of that worm."" ""Hamlet"" Shakespeare",Sappy,"gooey, mushy, romantic",0.1,0,-1,0,0
The Great Depression,Prozac was invented six decades too late.,Outrageous,"shocking, scandalous, disgraceful",0.4,0,-1,0,0
A Sunset,The sun never set on the British Empire ... because God didn't trust the English in the dark.,Distinguished,"dignified, extraordinary, acclaimed",0.4,0,1,0,0
Spit,"Ladies and gentlemen, straight from the Salivary Glands ...",Temperamental,"moody, irritable, short",0.3,0,-1,0,0
Cactus,"Require little care and exhibit bizarre forms. As such, they are often mistaken for Survivalists.",Delicious,"tasty, pleasing, appetizing",0.2,1,0,1,0
The Indy 500,Contestants must drive the full 500 miles. Bathroom breaks ARE allowed.,Outrageous,"shocking, scandalous, disgraceful",0.7,0,1,0,0
Toys,"They're not just for kids, anymore ...",Zany,"crazy, funny, wacky",0.8,1,1,0,0
The French Riviera,"Holiday home of the rich, the famous, and the halfnaked.",Sensual,"tactile, pleasing, sexual",0.9,0,1,0,0
Picking Your Nose,Noses run in our family.,Normal,"usual, common, ordinary",0.3,1,0,1,0
Remote Controls,"The world's handiest invention. That is, if you can find it.",Zany,"crazy, funny, wacky",0.2,1,0,0,0
Mud,Water. Dirt. You do the math.,Scary,"frightening, absurd, ugly",0.1,0,-1,0,0
Oranges,Face it ... nothing rhymes with orange.,Casual,"easygoing, blase, nonchalant",0.2,0,0,0,0
Being In Love,"""Love's like the measles, all the worse when it comes late."" Douglas Jerrold",Hopeless,"pessimistic, desperate, downhearted",0.5,0,-1,1,0
Blood,A healthy human body contains between five and six quarts of blood. Bloody right they do!,Influential,"powerful, prominent, important",0.3,0,0,0,0
Socks,"""Black socks, they never get dirty, the longer you wear them the stronger they get."" Bill Harley",Delicate,"dainty, tender, elegant",0.5,0,0,0,0
Bill Gates,"1955, chairman and chief software architect of Microsoft Corporation. A very rich guy.",Saintly,"virtuous, angelic, divine",0.4,0,1,1,0
Eyes,Lightsensitive organ of vision in animals. See?,Important,"significant, substantial, momentous",0.8,0,1,0,0
Charging Rhinos,How do you stop a rhino from charging? Take away its credit cards.,Patriotic,"nationalistic, loyal, public",0.1,1,0,0,0
My First Kiss,"Sparks were flying. Of course, that could have been the braces ...",Pure,"innocent, unadulterated, chaste",0.7,0,1,0,0
South Africa,"Two oceans, rugged mountains, traditional villages, game sanctuaries, wineries...forget the past and bring on the tourists.",Patriotic,"nationalistic, loyal, public",0.8,0,0,0,0
Clark Gable,"190160, American film actor, noted as a romantic lead. Frankly, my dear, he didn't give a damn.",Distinguished,"dignified, extraordinary, acclaimed",0.9,0,1,0,0
My Bedroom,"""No one knows what goes on behind closed doors."" Charlie Rich",Cool,"chilly, hip, cold",0.5,0,1,0,0
Steven Spielberg,"1947, American movie director and producer, and overachiever. From E.T. to Schindler's List... too many to list.",Phony,"false, artificial, imitation",-0.6,0,-1,1,0
The Milky Way,"The galaxy that includes the sun, its solar system, and a chewy layer of caramel.",Hopeless,"pessimistic, desperate, downhearted",-0.5,0,-1,0,0
Clark Gable,"190160, American film actor, noted as a romantic lead. Frankly, my dear, he didn't give a damn.",Mischievous,"naughty, prankish, sly",0.6,0,1,0,0
Hillary Rodham Clinton,"1947 , New York Senator, lawyer, and former American First Lady.",Saintly,"virtuous, angelic, divine",0.1,0,0,1,0
Pigs,"Domesticated mammal of the swine family. Thaaa ... thaaa ... that's all, folks!",Arrogant,"egotistical, overconfident, conceited",0.25,1,-1,0,0
Communists,"""From each, according to their ability, to each according to their need."" I need a new Ferrari.",Cheesy,"trashy, tawdry, far",0.1,1,-1,0,0
The 1960s,"Pros: the Moon Lsnding, the music. Cons: hippies who refuse to believe they're over.",Principled,"conscientious, ethical, scrupulous",0.8,0,1,0,0
A Car Crash,"""Hey, it was an accident!""",Dainty,"delicate, fragile, thin",-0.85,1,-1,1,0
The Gulf War,"January  February, 1991. This six week conflict with Iraq was also known as ""Desert Storm.""",Awkward,"clumsy, bumbling, uncoordinated",0.1,0,-1,1,0
The Great Depression,Prozac was invented six decades too late.,Profound,"deep, wise, thoughtful",0.9,0,-1,0,0
The Statue Of Liberty,"""Give me your tired, your poor/ Your huddled masses yearning to breathe free ..."" Emma Lazarus",Principled,"conscientious, ethical, scrupulous",0.9,0,1,0,0
Robin Williams,"1952 , versatile American comedian and actor. The furriest man in show business.",Saintly,"virtuous, angelic, divine",0.4,0,1,0,0
Yellowstone Park,"Home to 3000 geysers and hot springs. More gas and hot air than Washington, D.C.",Scary,"frightening, absurd, ugly",0.4,0,-1,0,0
Earthquakes,The Richter scale is named after the American seismologist Charles Richter. Did the earth move for you?,Cuddly,"loving, tender, huggable",-0.9,1,-1,1,0
Skydiving,Parachute canopies are usually made from nylon fabric that lasts for thousands of jumps  whether the skydiver does or not.,Creepy,"frightening, slithering, scary",0.2,0,-1,0,0
Handcuffs,"""You have the right to remain silent...""",Odd,"different, eccentric, bizarre",0.3,1,0,0,0
My Bathroom,"""The bathroom was drenched with their splashings"" Aldous Huxley",Dangerous,"risky, chancy, hazardous",0.35,1,0,1,0
Cinco de Mayo,"Marks the victory of the Mexican Army over the French at the Battle of Puebla, in 1862.",Magical,"enchanting, miraculous, marvelous",0.7,0,1,0,0
Gravity,"In 1684, the law of gravitation was formulated by English physicist Sir Isaac Newton, who recognized the gravity of the situation.",Loud,"noisy, boisterous, deafening",0,0,0,0,0
James Bond,"Fictional British secret agent created by English author Ian Fleming. Shaken, but never stirred.",Colorful,"vivid, brilliant, kaleidoscopic",0.3,1,0,1,0
Mahatma Gandhi,"1869-1948, Indian leader and philosopher who preached nonviolence. Was assassinated for his efforts.",Industrious,"diligent, busy, hard",0.8,0,1,0,0
Snakes,"Surprising, snakes move rapidly without legs. Also surprising, they find OTHER snakes attractive.",Cool,"chilly, hip, cold",0.6,0,0,0,0
Humphrey Bogart,"1899-1957, American film actor, starred in such classics as The Maltese Falcon and Casablanca. ""Here's looking at you kid.""",Lucky,"fortunate, serendipitous, favored",0.5,0,0,0,0
Pond Scum,Simple organisms that carry out photosynthesis ... or spammers.,Pure,"innocent, unadulterated, chaste",-0.8,1,-1,1,0
Chains,Gold or iron: name your shackles.,Awkward,"clumsy, bumbling, uncoordinated",0.3,0,-1,0,0
Jacques Cousteau,"1910-97, French naval officer, marine explorer, and author. Best known as a documentary filmmaker.",Outrageous,"shocking, scandalous, disgraceful",0.3,0,0,0,0
Walt Disney,"1901-1966, the head of some Mickey Mouse company.",Fabulous,"marvelous, wonderful, incredible",0.8,0,1,0,0
Wheat,Mainly used in flour. World output of wheat is more than 600 million metric tons a year ... so someone's making a lot of dough.,Principled,"conscientious, ethical, scrupulous",0.1,1,0,0,0
Inside The Sun,"Consisting mostly of hydrogen, the temperature reaches almost 16,000,000 K (about 29,000,000 F).",Smooth,"even, level, flat",-0.8,1,0,1,0
Snakes,"Surprising, snakes move rapidly without legs. Also surprising, they find OTHER snakes attractive.",Ridiculous,"preposterous, absurd, ludicrous",0.3,1,0,0,0
Snakes,"Surprising, snakes move rapidly without legs. Also surprising, they find OTHER snakes attractive.",Nerdy,"unhip, uncool, dorky",0.05,1,0,0,0
Helen Keller,"1880-1968, American author and lecturer who overcame deafness and blindness with the help of her companion, Anne Sullivan.",Cuddly,"loving, tender, huggable",0.1,0,0,0,0
"Paris, France","The governmental, cultural and gastronomic capital of France. Or the world. Just ask the French.",Extreme,"exceptional, superlative, radical",0.6,0,0,0,0
Blizzard,"Extreme cold, strong winds, and a head snowfall. Also known as Canada.",Obnoxious,"offensive, repulsive, annoying",0.4,0,-1,0,0
Cockroaches,"Annoying insects that can survive a nuclear war. Fortunately, they can't survive the heel of your shoe.",Rich,"wealthy, affluent, moneyed",-0.8,1,-1,1,0
Mold,Fuzzy growth produced on organic matter by several types of fungi. Particularly attracted to students' refrigerators,Adorable,"lovable, charming, delightful",-0.8,1,-1,1,0
Lobster,Crustaceans closely related to freshwater crayfishes. Market price.,Sappy,"gooey, mushy, romantic",0.1,1,0,0,0
Pablo Picasso,"1881-1973, Spanish painter and sculptor, one of the greatest artists of the 20th century. If only he could draw eyes ...",Charming,"captivating, enchanting, fascinating",0.6,0,1,0,0
Lightning,"Electrical discharge between rain clouds, or between a rain cloud and the earth, or between a rain cloud and an idiot with a kite.",Zany,"crazy, funny, wacky",0.25,1,0,1,0
Elizabeth Taylor,"1932 , American actor, noted for her lush beauty, emotional performances and multiple husbands.",Important,"significant, substantial, momentous",0.8,0,1,0,0
A Crawl Space,Where you'll find something the cat dragged in.,Corrupt,"dishonest, underhanded, shady",0.2,0,-1,0,0
Tree Huggers,"""Environmentalists"" to the left. ""Wackos"" to the right.",Unforgettable,"notable, impressive, remarkable",0.5,0,0,0,0
The First Day Of School,"""Fear has many eyes."" Cervantes",Hilarious,"funny, witty, amusing",0.35,1,1,0,0
The Electric Chair,"In U.S. prisons, an alternating current of about 2000 volts is used for electrocution.",Sappy,"gooey, mushy, romantic",-0.9,0,-1,1,0
Spiders,"There are more than 34,000 species of spiders. Try not to think about THAT right before bedtime.",Easy,"effortless, gentle, promiscuous",0.15,0,0,0,0
Going To The Gym,"No pain, no gain.",Dangerous,"risky, chancy, hazardous",0.4,0,-1,0,0
Marilyn Monroe,"1926-62, American movie star, pinup and sex symbol. Just ask the Kennedys.",Swift,"quick, speedy, expeditious",0.3,0,0,0,0
Gravity,"In 1684, the law of gravitation was formulated by English physicist Sir Isaac Newton, who recognized the gravity of the situation.",Creative,"imaginative, artistic, original",0.5,0,0,0,0
Charging Rhinos,How do you stop a rhino from charging? Take away its credit cards.,Stunning,"astonishing, staggering, astounding",0.7,0,0,0,1
Leonardo Da Vinci,"1452-1519, Florentine artist, sculptor, architect, engineer, scientist, and allaround smartypants.",Unscrupulous,"unethical, corrupt, unprincipled",-0.6,0,-1,1,0
Funerals,"""He who dies with the most toys is, nonetheless, still dead.""  Anonymous",Rich,"wealthy, affluent, moneyed",0.35,0,-1,1,0
Eleanor Roosevelt,"1884-1962, first lady, social activist, author, lecturer, and U.S. representative to the United Nations.",Responsible,"accountable, obligated, mature",0.85,0,0,0,0
Machine Guns,"Automatic, rapidfire, repeating weapons. The Gatling gun was used as early as the American Civil War.",Wild,"untamed, savage, ferocious",0.7,0,-1,0,0
Tree Huggers,"""Environmentalists"" to the left. ""Wackos"" to the right.",Mischievous,"naughty, prankish, sly",0.6,1,0,0,0
Tornadoes,"Funnelshaped cloud whirling destructively at speeds up to 300 mph. ""Honey, do you hear a freight train ... Honey?""",Hopeless,"pessimistic, desperate, downhearted",0.7,0,-1,0,0
The Universe,"Everything. The big ""It."" Huge. Massive. THAT big.",Temperamental,"moody, irritable, short",0.4,0,0,0,0
James Bond,"Fictional British secret agent created by English author Ian Fleming. Shaken, but never stirred.",Scary,"frightening, absurd, ugly",0.2,0,0,0,0
The Beatles,"1960s British band. Only the most revolutionary, influential and universally acclaimed group of the 20th century. That's all.",Visionary,"idealistic, prophetic, far",0.9,0,1,0,0
Hillary Rodham Clinton,"1947 , New York Senator, lawyer, and former American First Lady.",Honorable,"honest, just, virtuous",0.5,0,0,0,0
The 1960s,"Pros: the Moon Lsnding, the music. Cons: hippies who refuse to believe they're over.",Hardworking,"industrious, diligent, busy",0.6,0,1,0,0
My Hair,"Hair today, gone tomorrow ...",Awkward,"clumsy, bumbling, uncoordinated",0.5,1,0,0,0
Eleanor Roosevelt,"1884-1962, first lady, social activist, author, lecturer, and U.S. representative to the United Nations.",Pure,"innocent, unadulterated, chaste",0.65,0,1,0,0
Rain,"""When the rain comes, they run and hide their heads; they might as well be dead."" The Beatles",Courageous,"brave, gallant, dauntless",0.15,0,0,0,0
The South,Dixie: South of the MasonDixon line that is. They're not like folks 'round here ...,Casual,"easygoing, blase, nonchalant",0.6,0,1,0,0
Giving A Hug,"""One may give without loving; but none can love without giving."" Anonymous",Rich,"wealthy, affluent, moneyed",0.2,0,1,0,0
Infomercials,"One of these days, one of them may even say something informative.",Delicious,"tasty, pleasing, appetizing",0.1,1,0,0,0
Charging Rhinos,How do you stop a rhino from charging? Take away its credit cards.,Fresh,"new, original, good",0.1,0,0,0,0
Pro Wrestling,"They're just faking it. But then, so are we.",Awkward,"clumsy, bumbling, uncoordinated",0.35,1,0,0,0
The Mississippi River,"The Algonquin words ""Misi sipi"" mean ""big river."" What's Algonquin for ""muddy""?",Fresh,"new, original, good",0.25,0,0,1,0
The Universe,"Everything. The big ""It."" Huge. Massive. THAT big.",Awkward,"clumsy, bumbling, uncoordinated",0.1,1,0,1,0
Cinco de Mayo,"Marks the victory of the Mexican Army over the French at the Battle of Puebla, in 1862.",Rich,"wealthy, affluent, moneyed",0.4,0,1,0,0
Will Smith,"1968 , Successful American rap star, TV star and wildly successful motion picture star. He's got it all. We hate him.",Visionary,"idealistic, prophetic, far",0.35,0,1,0,0
Teachers,"If you can play this game, thank a teacher.",Wicked,"evil, corrupt, depraved",0.2,0,-1,0,0
Saddam Hussein,"1937, dictator of Iraq 19792003.",Luxurious,"opulent, lavish, sumptuous",0.35,0,-1,1,0
The Land Of Oz,"""I've a feeling we're not in Kansas anymore, Toto."" Dorothy, ""The Wizard Of Oz""",Selfish,"stingy, greedy, miserly",0.15,0,0,0,0
