Noun,Noun_Description,Adjective,Adjective_Synonyms,Rating,Is_Humorous,Sentiment,Is_Ironic,Is_Punny
Skydiving,Parachute canopies are usually made from nylon fabric that lasts for thousands of jumps  whether the skydiver does or not.,Selfish,"stingy, greedy, miserly",0.2,1,-1,1,0
The Electric Chair,"In U.S. prisons, an alternating current of about 2000 volts is used for electrocution.",Delicate,"dainty, tender, elegant",-0.1,1,-1,1,0
Italy,"European Republic, shaped like a boot  a very fashionable boot.",Talented,"gifted, clever, skillful",0.1,0,1,0,0
Spit,"Ladies and gentlemen, straight from the Salivary Glands ...",Corrupt,"dishonest, underhanded, shady",0.2,1,-1,0,0
My Family,"They'll drive you nuts. As long as you do the same to them, it's all even.",Outrageous,"shocking, scandalous, disgraceful",0.5,1,-1,0,0
"Paris, France","The governmental, cultural and gastronomic capital of France. Or the world. Just ask the French.",Corrupt,"dishonest, underhanded, shady",0.3,1,-1,0,0
Infomercials,"One of these days, one of them may even say something informative.",Zany,"crazy, funny, wacky",0.4,1,1,0,0
A Flat Tire,"""Whaddya mean, there's no spare?""",Saintly,"virtuous, angelic, divine",-0.2,1,1,1,0
Japan,"An Asian constitutional monarchy. The capital city is Tokyo. Let's see ... sushi, Godzilla, earthquakes ...",Pure,"innocent, unadulterated, chaste",0.1,0,-1,0,0
Cow,"Pies  When dried, these ""cow chips"" are hurled discuslike over great distances. It's true.",Crazed,"insane, wild, deranged",0.4,1,1,0,0
Bad Dogs,"Bad dog, bad dog. What'cha gonna do?",Distinguished,"dignified, extraordinary, acclaimed",0,0,1,1,0
Silk,"Produced as a cocoon covering by the silk worm, and used in fine fabrics and textiles.",Brilliant,"dazzling, gleaming, intelligent",0.5,0,1,0,0
Hawaii,"The eight islands that make up America's 50th state entered the Union on August 21, 1959.",Boisterous,"loud, rambunctious, rowdy",0.2,0,1,0,0
A Locker Room,Steamy atmosphere ... bawdy humor ... sweaty bodies ... HEY! Sounds like Cable TV!,Outrageous,"shocking, scandalous, disgraceful",0.4,1,1,0,0
The NRA,National Rifle Association. They're gunning for your vote.,Extreme,"exceptional, superlative, radical",0.6,0,-1,0,0
Bad Dogs,"Bad dog, bad dog. What'cha gonna do?",Delicious,"tasty, pleasing, appetizing",0,0,-1,0,0
Baby Showers,Baby showers may bring flowers ...,Awkward,"clumsy, bumbling, uncoordinated",0.3,1,-1,0,1
Puff Daddy,"1971 , American rap artist. ""I'll be Missing You"" shot him to stardom; no pun intended.",Arrogant,"egotistical, overconfident, conceited",0.4,0,-1,0,0
Inside The Sun,"Consisting mostly of hydrogen, the temperature reaches almost 16,000,000 K (about 29,000,000 F).",Delicious,"tasty, pleasing, appetizing",-0.4,1,1,0,0
Diamonds,The hard fact: they are just highly refractive crystalline allotropes.,Patriotic,"nationalistic, loyal, public",0,1,1,1,0
Silk,"Produced as a cocoon covering by the silk worm, and used in fine fabrics and textiles.",Sensual,"tactile, pleasing, sexual",0.7,0,1,0,0
Saddam Hussein,"1937, dictator of Iraq 19792003.",Powerful,"strong, forceful, robust",0.4,0,-1,0,0
Swiss Chocolate,"""What use are cartridges in battle? I always carry chocolate instead."" George Bernard Shaw",Lucky,"fortunate, serendipitous, favored",0,0,1,0,0
The New York Yankees,"Legendary American baseball team. With so much success, it's obvious why they're reviled.",Hardworking,"industrious, diligent, busy",0.6,0,1,0,0
Fourth Of July,"""Independence Day"" in the United States. ""Thank Goodness We Got Rid of Them Day"" in Britain.",Mischievous,"naughty, prankish, sly",0,0,-1,0,0
Homework,"Finally, something to do during commercials.",Casual,"easygoing, blase, nonchalant",-0.3,1,-1,1,0
Walt Disney,"1901-1966, the head of some Mickey Mouse company.",Animated,"lively, exuberant, spirited",0.8,0,1,0,1
South Africa,"Two oceans, rugged mountains, traditional villages, game sanctuaries, wineries...forget the past and bring on the tourists.",Misunderstood,"not grasped, not learned, not absorbed",-0.3,0,-1,1,0
Redwood Forests,"""From the Redwood Forests to the Gulf Stream Waters/ This land was made for you and me."" Woody Guthrie",Normal,"usual, common, ordinary",0,0,1,0,0
A Flat Tire,"""Whaddya mean, there's no spare?""",Offensive,"insulting, vulgar, attacking",0.4,1,-1,0,0
Piranha,Carnivorous fish found in rivers of South America. When you feel like a bite ...,Rich,"wealthy, affluent, moneyed",0,0,1,1,0
Machine Guns,"Automatic, rapidfire, repeating weapons. The Gatling gun was used as early as the American Civil War.",Nasty,"mean, inclement, offensive",0.1,0,-1,0,0
The 1950s,"Pros: Barbies, barbecues, and bikinis. Cons: McCarthy, the Korean War, television.",Offensive,"insulting, vulgar, attacking",0.4,0,-1,0,0
King Tut,"Boy king who ruled Egypt from 1333 to 1323 B.C., known for the great wealth of objects found in his tomb. He took it with him.",Emotional,"passionate, moving, volatile",0,1,1,0,0
A Dollar,Spend it wisely!,Silly,"foolish, goofy",0,0,1,0,0
Singing,Making music with your voice. Lalala.,Feminine,"womanly, ladylike, unmanly",0.3,0,1,0,0
Bigfoot,"Legendary North American monster, a.k.a. Sasquatch or the Abominable Snowman.",Perfect,"ideal, wonderful",0.1,1,1,0,0
Having An Operation,What a cutup! A real stitch.,Torn & Tattered,"shabby, ragged, grungy",0.6,0,-1,0,1
Stonehenge,"Prehistoric stone monument located north of Salisbury, England.",Chunky,"lumpy, chubby, bumpy",0.3,1,1,0,1
Glass,Glass is made by melting sand with potash or other chemicals.,Irritating,"annoying, troublesome, provoking",0,0,-1,0,0
A Bad Haircut,The perfect start to a bad hair day.,Gruesome,"ghastly, hideous, grisly",0.3,1,-1,0,0
Elizabeth Taylor,"1932 , American actor, noted for her lush beauty, emotional performances and multiple husbands.",High & Low,"everywhere, universally, all over",0.1,0,1,0,0
Antony & Cleopatra,"Roman general and Egyptian queen. A love affair that wouldn't die. Oh, wait, it did.",Dead & Gone,"deceased, defunct, passe",0.3,1,-1,0,1
New Orleans,The Big Easy.,Shocking,"frightening, electrifying, startling",0.3,0,-1,0,0
My Life,"""There are places I'll remember/ All my life/ though some have changed . . .""  The Beatles",Useful,"helpful, handy",0.5,0,1,0,0
Hot Tubs,Of course it's hot it's a hot tub!,Polite,"respectful, well",0,1,1,0,0
The Police,They keep order and arrest those who break the law.,Sporty,"athletic, active",0.2,0,1,0,0
Cindy Crawford,"1966 , American Supermodel. What dreams are made of.",Organic,"natural, clean, biological",0,0,1,0,0
Bald Eagles,They're not really bald. The white feathers on their heads make them look that way.,Friendly,"kind, nice",0.2,0,1,0,0
Ireland,"Island of the British Isles, west of Great Britain. Known for its distinctive traditional dance and music.",Evil,"wicked, corrupt, depraved",-0.2,1,-1,1,0
Body Snatchers,"We'd be worried, but nobody would want to snatch OUR bodies . . .",Dead & Gone,"deceased, defunct, passe",0.4,1,-1,0,1
Burned Toast,Want some burned bacon with that?,Whimsical,"humourous, peculiar, fanciful",-0.3,1,1,1,0
King Tut,"Boy king who ruled Egypt from 1333 to 1323 B.C., known for the great wealth of objects found in his tomb. He took it with him.",Pleasant,"enjoyable, nice",0,0,1,0,0
Dumb Blonde Jokes,Are they just naturally funny?,Swift & Sure,"steady, prompt, definite",0,0,-1,0,0
Restaurants,It's good to try new things!,Unnatural,"abnormal, artificial, bizarre",0,0,-1,0,0
Road Trips,"""Get Your Kicks on Route 66."" Nelson Riddle",Revolutionary,"innovative, rebellious, radical",0.2,0,1,0,0
Scientists,"Scientists study astronomy, biology, chemistry, geology, and other stuff.",Nice,"pleasant, kind",0.3,0,1,0,1
Muhammad Ali,"1942 , American heavyweight boxing champion. ""Floats like a butterfly, stings like a bee.""",Thin,"skinny, narrow",-0.2,0,1,0,0
Grease,Pretty slick!,Misunderstood,"not grasped, not learned, not absorbed",0,1,-1,0,1
Mickey & Minnie,"Mouse, that is. Disney's dynamic duo.",Pathetic,"pitiful, distressing, heart",-0.3,1,-1,0,0
Cleaning Your Room,"It's no fun, but you have to do it.",Touch & Go,"indecisive, uncertain, insecure",0,1,1,0,1
Pins & Needles,It's all sewed up!,Nutty,"kooky, foolish, nutlike",0,0,-1,0,0
Cindy Crawford,"1966 , American Supermodel. What dreams are made of.",Dead & Gone,"deceased, defunct, passe",0,0,-1,0,0
Tractors,"""She thinks My Tractor's Sexy.""  Kenny Chesney",Mysterious,"strange, secretive",0,1,1,0,0
Niagara Falls,"The 2nd largest waterfall in the world, located on the United States border with Canada.",Lively,"cheerful, active",0.4,0,1,0,0
Red Raspberries,Worth a few scratches.,Glorious,"magnificent, delightful, splendid",0.2,0,1,0,0
Trampolines,"Trampolines have been used in circuses wince the 18th century. Despite slumps in popularity, they always seem to bounce back!",Awkward,"clumsy, bumbling, uncoordinated",0,1,-1,1,1
Rogers & Hammerstein,"Kings of the Broadway Musical: The Sound of Music, The King and I, South Pacific, and many, many more.",Miserable,"unhappy, sorrowful",0,0,-1,0,0
A Giant,"A very large and powerful person. When Jack climbed the bean stalk, he met a hungry giant.",Stunning,"astonishing, staggering, astounding",0,1,1,0,1
Mountain Bikes,What goes up the mountain must come down.,Popular,well,0.3,0,1,0,0
Liver And Onions,An acquired taste.,Dead & Gone,"deceased, defunct, passe",0.3,0,-1,0,0
Barbie & Ken,"Ah, to be blond and plastic...",Dysfunctional,"impaired, damaged, maladjusted",0.1,1,-1,1,1
